station,valid, tmpf ,  relh ,  skyc1 ,  skyc2 ,  skyc3
ORD,2015-12-31 23:44,24.08,70.81,BKN,M,M
ORD,2015-12-31 23:51,24.08,70.81,BKN,M,M
ORD,2016-01-01 00:10,23.00,74.09,BKN,M,M
ORD,2016-01-01 00:23,23.00,71.24,SCT,M,M
ORD,2016-01-01 00:51,21.92,74.56,FEW,FEW,SCT
ORD,2016-01-01 01:51,19.94,73.77,FEW,SCT,M
ORD,2016-01-01 02:51,19.04,73.67,FEW,M,M
ORD,2016-01-01 03:37,19.04,73.67,BKN,M,M
ORD,2016-01-01 03:51,19.04,73.67,OVC,M,M
ORD,2016-01-01 04:51,19.04,76.66,OVC,M,M
ORD,2016-01-01 05:51,19.94,77.35,OVC,M,M
ORD,2016-01-01 06:51,21.92,74.56,OVC,M,M
ORD,2016-01-01 07:51,23.00,74.09,OVC,M,M
ORD,2016-01-01 08:51,24.08,74.20,OVC,M,M
ORD,2016-01-01 09:51,24.08,77.14,OVC,M,M
ORD,2016-01-01 10:51,24.98,74.29,OVC,M,M
ORD,2016-01-01 11:51,26.06,74.41,OVC,M,M
ORD,2016-01-01 12:51,26.06,74.41,BKN,M,M
ORD,2016-01-01 13:51,26.06,77.32,BKN,BKN,M
ORD,2016-01-01 14:01,26.06,77.32,SCT,BKN,BKN
ORD,2016-01-01 14:51,26.96,74.50,FEW,FEW,SCT
ORD,2016-01-01 15:51,28.04,74.61,FEW,SCT,BKN
ORD,2016-01-01 16:51,28.94,74.70,SCT,OVC,M
ORD,2016-01-01 17:51,30.02,71.48,BKN,OVC,M
ORD,2016-01-01 18:51,30.02,68.81,BKN,BKN,M
ORD,2016-01-01 19:51,30.02,68.81,FEW,FEW,M
ORD,2016-01-01 20:51,28.94,71.91,CLR,M,M
ORD,2016-01-01 21:51,28.04,74.61,CLR,M,M
ORD,2016-01-01 22:51,28.94,66.09,CLR,M,M
ORD,2016-01-01 23:51,26.96,71.69,CLR,M,M
ORD,2016-01-02 00:51,26.06,71.04,CLR,M,M
ORD,2016-01-02 01:51,24.98,77.82,BKN,M,M
ORD,2016-01-02 02:02,26.06,71.04,OVC,M,M
ORD,2016-01-02 02:51,24.98,74.29,OVC,M,M
ORD,2016-01-02 03:51,24.98,77.82,OVC,M,M
ORD,2016-01-02 04:51,24.08,74.20,BKN,M,M
ORD,2016-01-02 05:03,24.08,74.20,SCT,M,M
ORD,2016-01-02 05:51,23.00,77.64,FEW,M,M
ORD,2016-01-02 06:51,21.02,80.55,FEW,M,M
ORD,2016-01-02 07:51,19.94,84.33,FEW,M,M
ORD,2016-01-02 08:51,21.92,81.25,FEW,M,M
ORD,2016-01-02 09:51,24.08,77.14,CLR,M,M
ORD,2016-01-02 10:51,26.96,71.69,CLR,M,M
ORD,2016-01-02 11:51,28.04,68.57,CLR,M,M
ORD,2016-01-02 12:51,30.02,68.81,CLR,M,M
ORD,2016-01-02 13:51,30.92,63.36,CLR,M,M
ORD,2016-01-02 14:51,32.00,65.97,CLR,M,M
ORD,2016-01-02 15:51,32.00,69.04,CLR,M,M
ORD,2016-01-02 16:51,30.92,72.12,CLR,M,M
ORD,2016-01-02 17:51,30.02,74.81,CLR,M,M
ORD,2016-01-02 18:51,30.02,71.48,CLR,M,M
ORD,2016-01-02 19:51,30.02,71.48,CLR,M,M
ORD,2016-01-02 20:51,28.94,71.91,CLR,M,M
ORD,2016-01-02 21:51,26.96,74.50,CLR,M,M
ORD,2016-01-02 22:51,26.06,74.41,CLR,M,M
ORD,2016-01-02 23:51,24.98,74.29,CLR,M,M
ORD,2016-01-03 00:51,24.08,77.14,CLR,M,M
