station,valid, tmpf ,  relh ,  sped ,  p01i ,  skyc1 ,  skyc2 ,  skyc3
ORD,2015-09-01 00:51,71.06,90.06,4.6,0.00,CLR,M,M
ORD,2015-09-01 01:51,71.06,90.06,3.4,0.00,FEW,M,M
ORD,2015-09-01 02:51,71.06,90.06,3.4,0.00,FEW,M,M
ORD,2015-09-01 03:51,69.98,93.44,0.0,0.00,FEW,M,M
ORD,2015-09-01 04:51,69.98,93.44,0.0,0.00,CLR,M,M
ORD,2015-09-01 05:51,69.98,93.44,0.0,0.00,CLR,M,M
ORD,2015-09-01 06:51,71.96,93.49,4.6,0.00,FEW,M,M
ORD,2015-09-01 07:51,73.04,93.52,3.4,0.00,FEW,M,M
ORD,2015-09-01 08:51,77.00,84.46,5.7,0.00,FEW,M,M
ORD,2015-09-01 09:51,78.98,79.12,3.4,0.00,FEW,M,M
ORD,2015-09-01 10:51,82.04,74.25,6.8,0.00,FEW,FEW,M
ORD,2015-09-01 11:51,84.92,67.65,6.8,0.00,FEW,FEW,M
ORD,2015-09-01 12:51,87.08,60.88,11.4,0.00,SCT,SCT,M
ORD,2015-09-01 13:51,87.08,59.05,10.3,0.00,SCT,SCT,M
ORD,2015-09-01 14:51,87.98,59.16,6.8,0.00,FEW,SCT,BKN
ORD,2015-09-01 15:51,87.08,60.88,11.4,0.00,FEW,SCT,M
ORD,2015-09-01 16:51,87.08,60.88,11.4,0.00,SCT,M,M
ORD,2015-09-01 17:51,86.00,63.01,11.4,0.00,FEW,M,M
ORD,2015-09-01 18:51,84.92,65.23,9.1,0.00,CLR,M,M
ORD,2015-09-01 19:51,82.94,69.53,8.0,0.00,FEW,M,M
ORD,2015-09-01 20:51,80.06,76.36,6.8,0.00,FEW,M,M
ORD,2015-09-01 21:51,80.06,79.20,10.3,0.00,FEW,M,M
ORD,2015-09-01 22:51,78.98,79.12,11.4,0.00,FEW,M,M
ORD,2015-09-01 23:51,78.08,81.50,9.1,0.00,FEW,M,M
ORD,2015-09-02 00:51,75.92,81.85,5.7,0.00,FEW,M,M
ORD,2015-09-02 01:51,75.02,81.79,6.8,0.00,FEW,M,M
ORD,2015-09-02 02:51,73.94,84.80,4.6,0.00,FEW,SCT,M
ORD,2015-09-02 03:51,73.04,87.41,3.4,0.00,FEW,SCT,M
ORD,2015-09-02 04:51,73.04,84.22,6.8,0.00,FEW,FEW,M
ORD,2015-09-02 05:51,73.04,84.22,6.8,0.00,FEW,FEW,M
ORD,2015-09-02 06:51,71.96,87.35,4.6,0.00,FEW,FEW,M
ORD,2015-09-02 07:51,73.94,84.80,5.7,0.00,FEW,M,M
ORD,2015-09-02 08:51,77.00,76.57,4.6,0.00,FEW,M,M
ORD,2015-09-02 09:51,80.06,69.23,6.8,0.00,CLR,M,M
ORD,2015-09-02 10:51,84.02,62.77,5.7,0.00,FEW,M,M
ORD,2015-09-02 11:51,86.00,57.12,8.0,0.00,FEW,SCT,M
