Day of Week,Time,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
2,2330,0,2,0.2972972972972973,24.98,71.47,9.1,0.00,FEW,M,M
1,1400,99,2,0.47297297297297297,28.04,74.61,11.4,0.00,BKN,BKN,OVC
1,1830,113,2,0.3783783783783784,33.08,88.37,5.7,0.00,FEW,M,M
5,2230,0,0,0,26.96,74.50,12.5,0.00,FEW,BKN,M
5,1000,14,4,0,75.02,49.81,0.0,0.00,FEW,BKN,M
6,1830,66,1,0.14814814814814814,48.02,92.81,14.8,0.00,SCT,BKN,OVC
3,2000,0,0,0,39.02,95.86,11.4,0.00,OVC,M,M
7,1530,24,2,0.8378378378378378,51.08,56.05,20.5,0.00,FEW,SCT,OVC
3,730,14,0,0,57.92,66.75,3.4,0.00,BKN,OVC,M
6,900,33,4,0,66.92,58.65,16.0,0.00,FEW,SCT,M
6,1030,56,1,0.6666666666666666,46.04,43.34,11.4,0.00,BKN,M,M
7,600,0,0,0,64.94,96.90,0.0,0.00,OVC,M,M
1,1600,61,4,0,82.04,58.40,11.4,0.00,FEW,SCT,BKN
1,1730,153,3,0.47297297297297297,64.04,62.71,11.4,0.00,FEW,SCT,SCT
4,930,42,1,0.38271604938271603,57.02,63.97,9.1,0.00,FEW,BKN,BKN
6,1900,0,4,0,80.96,50.68,12.5,0.00,SCT,BKN,M
1,700,16,4,0,68.00,93.38,12.5,0.11,FEW,SCT,BKN
3,1630,54,0,0,75.92,35.81,9.1,0.00,FEW,M,M
3,1300,52,1,0.6296296296296297,62.06,62.04,19.4,0.00,SCT,BKN,M
3,900,37,2,0.5945945945945946,26.06,65.21,6.8,0.00,SCT,M,M
6,1200,80,3,0.3424657534246575,57.02,59.31,6.8,0.00,FEW,FEW,M
1,1730,0,3,0.5675675675675675,66.02,54.01,17.1,0.00,SCT,SCT,M
6,2130,0,0,0,23.00,74.09,6.8,0.00,SCT,M,M
6,2100,1,2,0.25675675675675674,26.06,74.41,6.8,0.00,FEW,FEW,M
7,2330,0,4,0,69.08,89.98,6.8,0.35,FEW,BKN,OVC
4,1000,11,0,0,84.92,60.98,9.1,0.00,SCT,SCT,SCT
2,800,35,3,0.10810810810810811,39.02,85.55,13.7,0.00,OVC,M,M
2,1630,83,3,0.20270270270270271,64.94,16.20,8.0,0.00,FEW,BKN,M
5,1800,32,0,0,39.92,67.45,9.1,0.00,FEW,M,M
7,2330,0,3,0.5540540540540541,46.94,92.78,5.7,0.00,OVC,M,M
4,2030,0,0,0,30.02,71.48,6.8,0.00,BKN,BKN,M
7,1500,50,2,0.36486486486486486,42.08,91.98,8.0,0.00,BKN,OVC,M
2,1630,0,0,0,30.02,81.27,9.1,0.00,OVC,M,M
5,1100,54,3,0.05405405405405406,51.08,40.73,13.7,0.00,FEW,SCT,OVC
4,1200,47,2,0.9864864864864865,51.98,37.68,23.9,0.00,FEW,FEW,M
5,800,27,3,0.9054054054054054,57.02,89.48,14.8,0.00,OVC,M,M
6,2000,69,3,0.5405405405405406,48.92,77.14,9.1,0.00,FEW,SCT,SCT
2,1230,29,4,0,87.08,55.19,4.6,0.00,BKN,BKN,M
7,1900,46,1,0.5061728395061729,55.04,63.72,4.6,0.00,CLR,M,M
2,1930,0,0,0,30.02,81.27,8.0,0.00,OVC,M,M
5,2100,30,1,0.48148148148148145,48.92,68.51,10.3,0.00,BKN,OVC,M
7,2300,0,4,0,69.08,75.40,0.0,0.00,FEW,M,M
1,1300,40,3,0.8513513513513513,59.00,53.36,9.1,0.00,FEW,FEW,M
2,2130,98,2,0.4864864864864865,14.00,73.13,13.7,0.02,BKN,OVC,M
3,1630,55,0,0,37.94,92.49,19.4,0.00,OVC,M,M
7,1630,53,3,0.2702702702702703,53.06,73.89,9.1,0.02,FEW,BKN,OVC
3,1500,79,2,0.12162162162162163,19.04,73.67,9.1,0.00,OVC,M,M
4,2330,0,4,0,62.96,77.83,4.6,0.00,SCT,M,M
6,2100,0,0,0,75.02,84.34,6.8,0.00,CLR,M,M
4,1530,161,0,0,82.94,52.93,17.1,0.00,FEW,BKN,BKN
3,1100,49,3,0.5,69.08,67.59,5.7,0.00,FEW,SCT,BKN
3,2300,0,1,0.8024691358024691,51.08,68.28,17.1,0.00,OVC,M,M
5,1330,50,2,0.9054054054054054,53.06,48.16,5.7,0.00,SCT,M,M
7,1600,0,0,0,46.94,47.54,18.2,0.00,BKN,BKN,OVC
6,800,34,2,0.06756756756756757,35.06,100.00,4.6,0.00,OVC,M,M
5,1500,24,4,0,82.04,43.87,14.8,0.00,SCT,BKN,BKN
2,1200,51,3,0.2972972972972973,48.92,44.14,20.5,0.00,BKN,BKN,M
1,1300,60,2,0.8513513513513513,62.06,59.99,16.0,0.00,SCT,M,M
4,2230,23,3,0.3150684931506849,53.96,80.25,0.0,0.00,FEW,SCT,M
3,1800,96,3,0.40540540540540543,48.92,58.61,10.3,0.00,SCT,BKN,M
4,800,44,2,0.7972972972972973,30.02,88.22,10.3,0.00,BKN,OVC,M
6,930,96,2,0.25675675675675674,30.02,74.81,3.4,0.00,FEW,BKN,M
6,2300,0,4,0,60.08,74.56,0.0,0.00,FEW,M,M
3,930,22,0,0,68.00,65.31,10.3,0.00,FEW,BKN,M
6,1930,46,3,0.3424657534246575,51.08,56.05,8.0,0.00,BKN,M,M
7,1130,12,0,0,68.00,72.92,16.0,0.00,BKN,BKN,OVC
1,2330,0,3,0.0945945945945946,39.02,85.55,12.5,0.02,BKN,OVC,M
1,1200,74,3,0.5675675675675675,66.92,78.66,18.2,0.00,BKN,OVC,M
4,1630,69,1,0.5555555555555556,68.00,70.15,16.0,0.00,BKN,BKN,OVC
3,2230,24,3,0.5,55.94,80.40,5.7,0.00,FEW,FEW,M
6,900,35,3,0.6351351351351351,68.00,87.16,6.8,0.01,OVC,M,M
5,1100,15,4,0,86.00,69.85,9.1,0.00,SCT,SCT,SCT
6,830,27,1,0.9259259259259259,30.02,100.00,5.7,0.00,OVC,M,M
5,1500,115,1,0.30864197530864196,53.96,33.76,14.8,0.00,SCT,SCT,M
5,1930,34,3,0.527027027027027,66.02,93.33,0.0,0.03,OVC,M,M
6,1000,5,0,0,41.00,82.09,9.1,0.00,OVC,M,M
1,1600,94,2,0.6621621621621622,39.92,57.33,9.1,0.00,OVC,M,M
4,1130,31,4,0,66.02,65.07,14.8,0.00,SCT,SCT,M
3,1300,2,0,0,28.04,74.61,13.7,0.00,OVC,M,M
4,630,49,2,0.32432432432432434,32.00,81.42,17.1,0.00,FEW,SCT,M
1,800,49,0,0,78.98,71.72,6.8,0.00,FEW,FEW,M
2,1730,202,1,0.5308641975308642,60.08,83.41,4.6,0.00,FEW,M,M
7,1000,24,2,0.9324324324324325,46.94,89.65,17.1,0.05,OVC,M,M
7,2000,45,3,0.2702702702702703,50.00,96.05,12.5,0.01,OVC,M,M
4,1000,48,3,0.32432432432432434,46.94,31.12,17.1,0.00,FEW,M,M
5,1400,24,4,0,80.06,39.22,0.0,0.00,SCT,SCT,BKN
6,930,34,0,0,78.98,66.58,6.8,0.00,FEW,FEW,SCT
4,700,41,2,0.4189189189189189,19.94,77.35,10.3,0.00,FEW,FEW,M
