Datetime,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
2016-02-08 14:00:00,99,2,0.47297297297297297,28.04,74.61,11.4,0.00,BKN,BKN,OVC
2016-02-01 18:30:00,113,2,0.3783783783783784,33.08,88.37,5.7,0.00,FEW,M,M
2015-07-16 06:30:00,20,4,0,64.04,77.92,0.0,0.00,FEW,BKN,OVC
2015-10-03 18:30:00,66,1,0.14814814814814814,48.02,92.81,14.8,0.00,SCT,BKN,OVC
2016-03-06 15:30:00,24,2,0.8378378378378378,51.08,56.05,20.5,0.00,FEW,SCT,OVC
2015-06-17 07:30:00,14,0,0,57.92,66.75,3.4,0.00,BKN,OVC,M
2015-11-14 10:30:00,56,1,0.6666666666666666,46.04,43.34,11.4,0.00,BKN,M,M
2015-07-20 16:00:00,61,4,0,82.04,58.40,11.4,0.00,FEW,SCT,BKN
2015-05-04 17:30:00,153,3,0.47297297297297297,64.04,62.71,11.4,0.00,FEW,SCT,SCT
2015-10-22 09:30:00,42,1,0.38271604938271603,57.02,63.97,9.1,0.00,FEW,BKN,BKN
2015-07-13 07:00:00,16,4,0,68.00,93.38,12.5,0.11,FEW,SCT,BKN
2015-09-09 16:30:00,54,0,0,75.92,35.81,9.1,0.00,FEW,M,M
2015-11-11 13:00:00,52,1,0.6296296296296297,62.06,62.04,19.4,0.00,SCT,BKN,M
2016-02-17 09:00:00,37,2,0.5945945945945946,26.06,65.21,6.8,0.00,SCT,M,M
2016-04-23 12:00:00,80,3,0.3424657534246575,57.02,59.31,6.8,0.00,FEW,FEW,M
2015-09-26 13:00:00,95,1,0.06172839506172839,73.94,57.32,11.4,0.00,FEW,SCT,M
2016-01-23 21:00:00,1,2,0.25675675675675674,26.06,74.41,6.8,0.00,FEW,FEW,M
2015-09-03 10:00:00,11,0,0,84.92,60.98,9.1,0.00,SCT,SCT,SCT
2015-04-07 08:00:00,35,3,0.10810810810810811,39.02,85.55,13.7,0.00,OVC,M,M
2015-04-14 16:30:00,83,3,0.20270270270270271,64.94,16.20,8.0,0.00,FEW,BKN,M
2016-03-25 18:00:00,32,0,0,39.92,67.45,9.1,0.00,FEW,M,M
2016-01-31 15:00:00,50,2,0.36486486486486486,42.08,91.98,8.0,0.00,BKN,OVC,M
2015-04-03 11:00:00,54,3,0.05405405405405406,51.08,40.73,13.7,0.00,FEW,SCT,OVC
2016-02-25 07:30:00,26,2,0.7027027027027027,32.00,65.97,16.0,0.00,FEW,BKN,OVC
2015-06-05 08:00:00,27,3,0.9054054054054054,57.02,89.48,14.8,0.00,OVC,M,M
2015-05-09 20:00:00,69,3,0.5405405405405406,48.92,77.14,9.1,0.00,FEW,SCT,SCT
2015-07-28 12:30:00,29,4,0,87.08,55.19,4.6,0.00,BKN,BKN,M
2015-11-01 19:00:00,46,1,0.5061728395061729,55.04,63.72,4.6,0.00,CLR,M,M
2015-10-30 21:00:00,30,1,0.48148148148148145,48.92,68.51,10.3,0.00,BKN,OVC,M
2015-06-01 13:00:00,40,3,0.8513513513513513,59.00,53.36,9.1,0.00,FEW,FEW,M
2016-02-09 21:30:00,98,2,0.4864864864864865,14.00,73.13,13.7,0.02,BKN,OVC,M
2015-12-15 06:00:00,24,0,0,39.02,79.05,12.5,0.00,OVC,M,M
2015-04-19 16:30:00,53,3,0.2702702702702703,53.06,73.89,9.1,0.02,FEW,BKN,OVC
2016-01-13 15:00:00,79,2,0.12162162162162163,19.04,73.67,9.1,0.00,OVC,M,M
2015-09-17 15:30:00,161,0,0,82.94,52.93,17.1,0.00,FEW,BKN,BKN
2016-03-06 12:30:00,34,2,0.8378378378378378,46.04,57.78,18.2,0.00,SCT,BKN,M
2016-03-11 13:30:00,50,2,0.9054054054054054,53.06,48.16,5.7,0.00,SCT,M,M
2016-01-09 08:00:00,34,2,0.06756756756756757,35.06,100.00,4.6,0.00,OVC,M,M
2015-08-07 15:00:00,24,4,0,82.04,43.87,14.8,0.00,SCT,BKN,BKN
2015-04-21 12:00:00,51,3,0.2972972972972973,48.92,44.14,20.5,0.00,BKN,BKN,M
2016-03-07 13:00:00,60,2,0.8513513513513513,62.06,59.99,16.0,0.00,SCT,M,M
2016-04-21 22:30:00,23,3,0.3150684931506849,53.96,80.25,0.0,0.00,FEW,SCT,M
2015-04-29 18:00:00,96,3,0.40540540540540543,48.92,58.61,10.3,0.00,SCT,BKN,M
2016-03-03 08:00:00,44,2,0.7972972972972973,30.02,88.22,10.3,0.00,BKN,OVC,M
2016-01-23 09:30:00,96,2,0.25675675675675674,30.02,74.81,3.4,0.00,FEW,BKN,M
2015-09-09 09:30:00,22,0,0,68.00,65.31,10.3,0.00,FEW,BKN,M
2015-12-03 10:00:00,46,1,0.9012345679012346,33.98,88.42,12.5,0.00,OVC,M,M
2016-02-19 11:30:00,91,2,0.6216216216216216,62.06,53.44,29.6,0.00,FEW,FEW,M
2015-08-23 11:30:00,12,0,0,68.00,72.92,16.0,0.00,BKN,BKN,OVC
2015-05-11 12:00:00,74,3,0.5675675675675675,66.92,78.66,18.2,0.00,BKN,OVC,M
2015-11-05 16:30:00,69,1,0.5555555555555556,68.00,70.15,16.0,0.00,BKN,BKN,OVC
2016-03-28 11:30:00,69,0,0,46.04,70.64,11.4,0.00,BKN,OVC,M
2016-04-22 17:00:00,148,3,0.3287671232876712,48.92,63.39,13.7,0.00,CLR,M,M
2015-05-16 09:00:00,35,3,0.6351351351351351,68.00,87.16,6.8,0.01,OVC,M,M
2015-07-17 11:00:00,15,4,0,86.00,69.85,9.1,0.00,SCT,SCT,SCT
2016-04-04 07:30:00,71,3,0.0821917808219178,33.98,69.28,14.8,0.00,OVC,M,M
2015-12-05 08:30:00,27,1,0.9259259259259259,30.02,100.00,5.7,0.00,OVC,M,M
