Date,Attendance,Quarter,Place in Quarter,Temperature,Humidity,Wind Speed,Precipitation,Skyc1,Skyc2,Skyc3
2015-11-21 12:30:00,59,1,0.7530864197530864,28.94,96.38,20.5,0.27,VV ,M,M
2015-12-09 16:00:00,0,1,0.9753086419753086,46.94,70.74,8.0,0.00,SCT,BKN,M
2015-10-03 18:30:00,66,1,0.14814814814814814,48.02,92.81,14.8,0.00,SCT,BKN,OVC
2015-09-10 22:00:00,0,0,0,60.98,93.19,5.7,0.00,BKN,M,M
2015-09-27 07:00:00,0,1,0.07407407407407407,66.02,81.15,8.0,0.00,OVC,M,M
2015-12-30 08:00:00,0,0,0,26.96,92.12,6.8,0.02,BKN,OVC,M
2015-12-30 15:00:00,0,0,0,28.04,74.61,11.4,0.00,OVC,M,M
2015-12-20 18:00:00,0,0,0,46.04,51.03,17.1,0.00,SCT,BKN,OVC
2015-11-30 19:00:00,108,1,0.8641975308641975,44.06,70.42,18.2,0.01,OVC,M,M
2015-12-20 08:30:00,0,0,0,35.96,72.66,16.0,0.00,SCT,BKN,M
2015-10-09 22:30:00,0,1,0.2222222222222222,51.08,79.48,0.0,0.00,FEW,M,M
2015-12-07 15:30:00,90,1,0.9506172839506173,37.04,88.57,8.0,0.00,OVC,M,M
2015-10-22 09:30:00,42,1,0.38271604938271603,57.02,63.97,9.1,0.00,FEW,BKN,BKN
2015-09-05 18:30:00,0,0,0,80.06,69.23,6.8,0.00,SCT,BKN,M
2015-12-09 17:00:00,0,1,0.9753086419753086,44.06,78.91,3.4,0.00,SCT,BKN,M
2015-10-31 13:00:00,70,1,0.49382716049382713,46.94,92.78,10.3,0.01,BKN,OVC,M
2015-09-29 09:30:00,59,1,0.09876543209876543,59.00,93.13,19.4,0.00,OVC,M,M
2015-09-09 16:30:00,54,0,0,75.92,35.81,9.1,0.00,FEW,M,M
2015-11-11 13:00:00,52,1,0.6296296296296297,62.06,62.04,19.4,0.00,SCT,BKN,M
2015-12-18 06:30:00,0,0,0,26.06,68.33,8.0,0.00,OVC,M,M
2015-12-16 18:00:00,0,0,0,39.02,69.86,19.4,0.00,OVC,M,M
2015-09-04 15:00:00,24,0,0,80.06,62.29,9.1,0.00,FEW,SCT,SCT
2015-11-29 10:30:00,27,1,0.8518518518518519,37.04,69.63,5.7,0.00,FEW,BKN,M
2015-11-15 22:30:00,0,1,0.6790123456790124,53.06,48.16,11.4,0.00,BKN,M,M
2015-12-18 22:00:00,0,0,0,26.96,74.50,12.5,0.00,FEW,BKN,M
2015-10-30 23:00:00,0,1,0.48148148148148145,48.02,70.86,10.3,0.00,BKN,OVC,M
2015-10-14 16:00:00,80,1,0.2839506172839506,62.06,36.36,12.5,0.00,FEW,M,M
2015-09-26 13:00:00,95,1,0.06172839506172839,73.94,57.32,11.4,0.00,FEW,SCT,M
2015-12-27 16:00:00,0,0,0,35.06,78.13,14.8,0.00,BKN,OVC,M
2015-11-02 11:30:00,71,1,0.5185185185185185,69.08,38.81,9.1,0.00,SCT,M,M
2015-10-16 13:00:00,65,1,0.30864197530864196,53.06,36.22,16.0,0.00,FEW,SCT,M
2015-09-03 10:00:00,11,0,0,84.92,60.98,9.1,0.00,SCT,SCT,SCT
2015-12-17 20:30:00,0,0,0,30.02,71.48,6.8,0.00,BKN,BKN,M
2015-10-05 14:30:00,105,1,0.1728395061728395,60.08,83.41,5.7,0.00,OVC,M,M
2015-11-25 16:00:00,69,1,0.8024691358024691,46.94,68.28,19.4,0.00,OVC,M,M
2015-09-06 23:30:00,0,0,0,80.06,62.29,10.3,0.00,FEW,M,M
2015-11-27 18:00:00,2,1,0.8271604938271605,35.06,81.65,13.7,0.00,OVC,M,M
2015-09-20 20:30:00,0,0,0,62.06,67.24,6.8,0.00,FEW,M,M
2015-12-07 07:00:00,9,1,0.9506172839506173,30.92,100.00,4.6,0.00,VV ,M,M
2015-09-20 18:00:00,17,0,0,64.94,50.32,8.0,0.00,FEW,FEW,M
2015-10-20 08:00:00,47,1,0.35802469135802467,57.92,45.58,14.8,0.00,SCT,BKN,M
2015-12-17 12:30:00,0,0,0,33.98,58.66,16.0,0.00,BKN,M,M
2015-11-26 23:30:00,0,1,0.8148148148148148,55.94,90.03,11.4,0.09,BKN,OVC,M
2015-12-21 19:30:00,0,0,0,42.08,95.92,8.0,0.00,OVC,M,M
2015-12-05 12:00:00,51,1,0.9259259259259259,42.98,62.16,9.1,0.00,FEW,SCT,M
2015-11-01 19:00:00,46,1,0.5061728395061729,55.04,63.72,4.6,0.00,CLR,M,M
2015-12-29 19:30:00,0,0,0,30.02,81.27,8.0,0.00,OVC,M,M
2015-10-30 21:00:00,30,1,0.48148148148148145,48.92,68.51,10.3,0.00,BKN,OVC,M
2015-10-13 06:00:00,8,1,0.2716049382716049,50.00,68.15,12.5,0.00,SCT,M,M
2015-11-25 21:30:00,0,1,0.8024691358024691,50.00,63.08,19.4,0.00,OVC,M,M
2015-12-01 17:30:00,157,1,0.8765432098765432,39.02,75.69,6.8,0.00,SCT,OVC,M
2015-10-28 18:00:00,80,1,0.4567901234567901,44.06,85.25,19.4,0.00,OVC,M,M
2015-12-26 08:00:00,0,0,0,41.00,73.19,10.3,0.00,BKN,OVC,M
2015-11-16 10:00:00,63,1,0.691358024691358,57.02,41.70,13.7,0.00,SCT,BKN,M
2015-10-26 06:30:00,27,1,0.43209876543209874,39.02,92.53,0.0,0.00,FEW,M,M
2015-12-06 17:30:00,59,1,0.9382716049382716,39.92,76.32,4.6,0.00,SCT,SCT,BKN
2015-09-13 09:30:00,14,0,0,62.96,51.77,10.3,0.00,FEW,M,M
2015-11-21 10:30:00,61,1,0.7530864197530864,32.00,100.00,6.8,0.08,OVC,M,M
2015-09-17 15:30:00,161,0,0,82.94,52.93,17.1,0.00,FEW,BKN,BKN
2015-09-04 13:00:00,20,0,0,84.02,60.87,5.7,0.00,FEW,SCT,SCT
2015-11-11 15:00:00,83,1,0.6296296296296297,62.06,53.44,17.1,0.00,BKN,OVC,M
2015-10-06 20:00:00,139,1,0.18518518518518517,57.02,86.58,4.6,0.00,SCT,M,M
2015-11-21 21:30:00,0,1,0.7530864197530864,21.02,77.45,12.5,0.00,CLR,M,M
2015-10-27 10:00:00,47,1,0.4444444444444444,55.04,61.56,14.8,0.00,FEW,SCT,OVC
2015-12-16 21:00:00,0,0,0,35.96,72.66,16.0,0.00,BKN,BKN,OVC
2015-12-24 20:30:00,0,0,0,41.00,79.21,0.0,0.00,BKN,OVC,M
2015-09-28 06:30:00,23,1,0.08641975308641975,64.94,93.30,0.0,0.00,OVC,M,M
2015-11-25 19:00:00,32,1,0.8024691358024691,48.92,65.67,22.8,0.00,OVC,M,M
2015-10-31 15:00:00,82,1,0.49382716049382713,48.02,92.81,14.8,0.00,BKN,OVC,M
2015-12-10 21:00:00,0,1,0.9876543209876543,46.94,68.28,11.4,0.00,CLR,M,M
2015-10-21 14:30:00,80,1,0.37037037037037035,73.04,55.01,13.7,0.00,FEW,SCT,BKN
2015-09-26 15:00:00,111,1,0.06172839506172839,73.94,59.58,13.7,0.00,FEW,SCT,M
2015-12-22 21:00:00,0,0,0,39.02,88.66,6.8,0.00,OVC,M,M
